video name,transcript,extracted
Decimal Representation of rational numbers, the simple representation of or rational number written in the form of be upon cu can be found by using long division method however on dividing py by cu using the long division method either the remainder becomes zero all the remainder never becomes zero and we get he repeating string of remainders let discus both cases one by one case one when the remainder becomes zero on simplifying six upon twenty five using the long division method we find that the remainder is zero and the cushion is zero point two for so six upon twenty five equals zero point to for such ar decimal form of or rational number is called at terminating decimal form let us take up another example find the decimal expansion of negative one hundred thirteen upon two on simplifying one hundred thirteen upon two using the long division method we find that the remainder is zero and the cotiond is fifty six point five so negative one hundred thirteen upon two equals negative fifty six point five case two when the remainder never becomes zero on simplifying two upon nine using the long division method we find that the remainder never becomes zero and the number to repeat endlessly in the cushion so two upon nine equals zero point two two two two and so on such a decimal form of or rational number is called are non terminating recurring deimal form to simplify the notation we just write the number to one after the decimal and put or dot over it let us take up another example find the decimal expansion of negative fourteen upon ninety nine on simplifying fourteen upon ninety nine using the long division method we find that the remainder never becomes zero and the block of digits one and four epondrepeating endlessly in the cushion so negative fourteen upon ninety nine equals next it zero point to one four one for and so on in this case instead of putting dots over both one and four we put abor over both the digits to represent is repetition so we see that the decimal expansion of rational numbers can be either terminating one long terminating retain on the other hand can you conclude that any number having the terminating or are non terminating recurring decimal expansion is or rational number yes lets understand to some examples show that the given decimal number is he rational number the given decimal number can be rt in in the form of be upon cu are shown here and hence it is or rational number consider another example show that the given decimal number can be expressed in the form of be upon cu where be and he are integers and cu is not equal to zero let ex be the given decimal number so then ex is equal to five point five five five and so on which is equal to five plus zero point five five five and so on that is five plus ex therefore then ex is equal to five plus ex solving for ex we get nine ex is equal to five therefore ex is equal to five upon nine similarly for the simal numbers having two repeating digits after the decimal point you multify the number by one hundred and proceed as we did in the pre vis example consider one more example show that the given decimal number can be expressed in the form be upon co where and he are integers and he is not equal to zero let ex be the given decimal number note here that for does not repeat but the block of digits seven and five repeats here two digits are repeating so we multiply ex by hundred we get one hundred ex is equal to forty seven point five seven five seven and so on this can be retinas one hundred ex is equal to forty seven point one plus ex are shown here on subtracting you get ninety nine ex is equal to forty seven point one that is ninety nine ex is equal to four hundred seventy one upon ten ex is equal to four hundred seventy one upon nine hundred ninety lets have a quick re cup of our learning,"['terminating decimal form', 'ar decimal form', 'decimal number', 'decimal point', 'decimal form', 'rational number', 'decimal', 'long terminating', 'long division', 'quick re', 'rational numbers', 'more example', 'other hand', 'simple representation', 'number', 'terminating', 'numbers', 'point', 'form', 'example']"
Operations on Real Numbers, you have already learnt that commutative associative and distributive laws hold for addition and multiplication of rational numbers also we now that if we add sub five multiply or divive two rational numbers we still get ar rational number or the sum difference protepand division of irrational numbers always irrational lets check let us first see what happens when we add and multiple ar rational number with an irrational number we know that square root two is an irrational number what about three ply square root two or three multiplied by square root two square root to has an non terminating and non receding decimal expansion therefore the small expansion of three plus square root two and three multiplied ra square re two is also non terminating and non recordi so three ply square root two and three multiplied by square root two are irrational numbers let sconsider some exumbers at five square root three plus three square root five and three square root three minor seven square root five on adding we find that the sum of these irrational numbers is eight square root three mines four square root five which is an irrational number now multiply seven square root five by three square root five on multiplication we find the product of given irrational numbers is one halbere five which is irrational number consider another exumber divive eight square root twenty one by two square root seven on division you get the portion of the given irrational numbers that is four square root three which is an irrational number these examples may ly to the properties you are going to discuss now the first property is addition and subtraction of ar rational number with an irrational number is an irrational number the second property is multiplication and division of an non zero rational number with an irrational number is also an irrational number the third property is addition subtraction multiplication and division of two irrational numbers can be either irrational on an irrational number let understand two an exumber check whether the answer to the given calculations is ar rational number or an irrational number two square root two plus four square root three plus square root to minus quive square root three on adding the given irrational numbers you get three square root to mines square root three as otheunswr which is an irrational number five square root to multiplied by three square root two on multiplying the given irrational numbers you get thirty as the answer which is ar rational number eight square root six divitipy two square root three on dividing the irrational numbers you get four square rot two as nunser which is an irrational number here is wire gap of our learning,"['square', 'difference protepand', 'ar rational', 'exumber check', 'distributive laws', 'commutative associative', 'property', 'subtraction', 'expansion', 'irrational', 'rational', 'wire', 'exumber', 'check']"
Set of Different Types of Numbers, set of different types of numbers be tens of thousands of years people invented different ways of counting things things such as rapes of open as or people or days in mathematics the counting numbers are called the natural numbers natural numbers starts with one there is no limit to the largest natural number natural numbers do not include the number zero the set of all natural numbers is denoted by the capital letter end when people started that in things there was no point to infant number for nothing why would you say the number of banana we have an zero when he could just say no be name to day however once positional notation was invented are simpler to represent zero was needed as place older or callus containing notices for instance the number two thousand one represents two thousand or zero congrs or zero tends class one ones without the zero some this number becomes quite cones so people started into zero in anal numbers natural numbers not zero are known as or numbes it is represented by capital letter number with addition of negative numbers in obnumbers we have in perches it is represented by capital letters en are sometimes with capital letter numbers or perform we are for cue ree and cue are integers and cue is not zero are known as rational numbers it is noted by capital letter culwe can perform all for mathematical operations that is addition subtraction motilication and division on any two rational numbers and represent the result as rational number but what about their situation there are some quantities which cannot be represented as rational number such quantities or defined as irrational numbers by combining rational numbers with irrational numbers we have real numbers any point on number line is real number we are numbers of the noted by capital letter,"['natural numbers natural numbers', 'natural number natural numbers', 'numbers natural numbers', 'capital letter numbers', 'capital letter number', 'number such', 'natural numbers', 'capital letter', 'numbers', 'number', 'mathematical operations', 'cue ree', 'quite cones', 'place older', 'positional notation', 'years people', 'such', 'subtraction', 'different', 'capital', 'cue', 'people']"
Congruent Figures, amar is two foci about people entering her house with their shoes on she is looking for poster for this purpose that is just the right size for her man do not to narrow not to wide luckily she has got an in fat she likes it so much that she on another one of the same size for her rest room or mad person might say she is looking for poster that congruent to the one that she already has when do we say that two objects are congruent two objects or congruent when they are of exactly the same shape and the same sizes you could also think of aparof predicards of the same band both of them are nearly rectangular and have the same shape and size hence they are congruent moreover the relation of two objects being congruent is called congruence to study more geometry best examples of congruence we are going to start with congruent of plane pages can you tell whether the two figures shown here are congruent or not just by mere observation now the met at of superposition can help us here place one of the shapes over the other what do you observe one figure covers the other completely an exactly this shows that they have exactly the same shape and size so we say that the figures are congruent in mathematics we have as special symbol to show congruence if we name or figures as figure ar and figure be then we can write that they are congruent using the congruent symbol which is an equal signed with as quickly line on top lets move on to learn about congruent of some more basic shades we will start with the congruence of line segments are the line segment by and ex why congruent to each other let trace the line segment ab and play sit on top of line segment ex way what do you observe awe covers ex why completely it is only possible when they hav the same lend from this we can infer that if two line segments have the same lend then we will coins side with each other completely hence line segment by is congruent to line segment exui and we write it as shown here thus we can conclude that if two line segments have the same or you can say equal lend they are congruent to each other and vice we sa it is interesting to know that congruence of line segments satisfies the properties of commutativity and assositivita an important point to keep in mind is that two congruent line segments need not lie at the same angle or position on the plant for example line segment put and ores are congruent as they have the same lend we can also write it as pace equals or as so we just saw when two line segments are set to be congruent let us understand the congruent of angles with the help of an activity draw two angles existed and be say of measure fifty degrees each with the help of or protracta trace angle ex visit alongwith labling on at the same paper now lift the tracing paper and plays it on the angle by say what do you observe you can say that if point why is placed on point be and revisit on re by say then re ex iv falls on ray by so we can say that both the angles are congruent to each other and write it as shown here we can infer from here that if two angles have the same measure they are congruent to each other and viewer sa now observe these two angles are they congruent yes the cause they have the same measure now that congruence of angles thes non depend on the lend of their arms rather it depends the cone the measures of the angles one superposition you will find that both be angles over each other exactly we can also write that angle pace are equals angle em or end and the properties of commutativity and associative ity holds true or congruent of angles as well next we will learn about the congruent of circles with the help of an activity drawsocles of radii two centimetres one point five centimetres two centimeters and trees anti meters now place them one upon the other to find out which ones coincide completely what do you observe you can see that circles with radii two centimetres coincide and the remaining ones don't coincide with any of the circles from here we can deduce that if two circles have equal radii they are congruent to each other and versa its time to take a quick rice two objects are congruent when they are exactly of the same shape and the same size figure is congruent to figure be can be written as shown here if two line segments have the same or equal dent they are congruent and vice sa if two angles have the same measure they are congruent and vice sa if two circles have equal radii they are congruent and vice sa,"['same size figure', 'line segment ex', 'same angle', 'same size', 'trace angle ex', 'line segment', 'same', 'congruent line', 'geometry best', 'congruent symbol', 'congruent in', 'angles thes', 'important point', 'basic shades', 'top lets', 'mere observation', 'plane pages', 'aparof predicards', 'mad person', 'rest room', 'in fat', 'line', 'angle', 'ex', 'size', 'anti', 'sa', 'equal', 'symbol', 'figure', 'congruent', 'trace', 'point', 'activity', 'angles', 'in', 'top']"
Frustum, let us take a right circular cone and slice it with a plain parallel to its base remove the smaller right circular cone that is formed on slicing aschone the part this is now left over is called of frustum of the cone it has two circular ends with different radii the shape frustum of the cone is used in tumblers disposable cups buckets lamp shades et cetera,"['disposable cups buckets', 'plain parallel', 'circular']"
Volume of a Cuboid and a Cube, nancy is arranging some cubical block inside the carton after placing some block she is unable to place more block in it why is it so it is because thet block have occupied ol the space inside the carton in fact pole objects occupy some spades like measuring the area occupied by ate dimensional figure can you measure the space occupoid by the three dimensional object the measure of the space occupied by an object is cold the volume of the object to find the volume of this carton you can apply the formula for the volume of a cuboid which you are already familiar we earlier this formula was derived by performing an activity where we use the concept that the volume of a cuboid is equal to the number of unit cubes that are contained in it without any gaps and overlaps but there is another method also to derive this formula let us explore consider rectangle with length ll and breadth be if we stack of such identical rectangles one on the other till they reach up to the height at the shape so obtained is a cuboid with base area at and high age let we be the volume of the cuboid since the measure of the space occupied by this cuboid can be obtained by mulcuping the are of the region occupied by each rectangle with the hide so we get we equal to at multiplied by age thus we get the formula that the volume of a cuboid is equal to base area multiplied by hide further we can write the base area as length multiplied by bread therefore the volume of a cuboid is equal to the product of its length breadth and hide or by age here no that when we find the space occupied by any solid shape we count the number of cubes with an edge of unit length that can fit to space exactly so the unit for measurement of volume is cubic ness now what happens if the length breadth and height of a cuboid or the same in such a case the cuboid becomes the cube acube is the special case of a cuboid so the volume of a cube is found to be all cube where all is the length of each of the edges of the cube let us now discuss an example the length of acuvolule voter tank is five meters and its breadth is three meters if the capacitue of the water tank is thirty cubic meters what is its high here we can assume that the volume and the capacity of the voter tank are the same let the height of the tank be at meters on applying the formula for the volume of a cuboid and substituting the values of length and breadth we get the equation fifteen multiplied by he equals thirte on soling the equation we get the volume of ace as to meters further if acubical box is round in the tank the voter level rises by ten centimetres what is the side of the cubical box let the side of the cubical box be ameters the volume of the cubical box equals the volume of the raised water and the volume of the raised water again equals the volume of the cuboid with length and breadth same as water tank and height as ten centimetres so we get the equation as shown here on solving further we get the volume of at as cube root of von point five meters this is the required length of the edge of the cubical box this is all about the volume of a cube and acuboid now let summarise the concepts we have learn,"['unit length', 'length breadth', 'voter tank', 'such identical rectangles', 'fact pole objects', 'cubical block', 'cubical box', 'cubic ness', 'length', 'von point', 'special case', 'solid shape', 'high age', 'base area', 'dimensional', 'voter', 'block', 'cubic', 'cube', 'tank', 'box', 'breadth', 'unit', 'high', 'case', 'age', 'shape', 'area', 'such']"
What is a hollow cylinder, what is the hollow cylender in our daily life we come across many objects which look like of hollow cylender hollow cylinder is the three dimensional shade suppose we remove the inner solid mass from as solid cylender what is left will be called or hollow cylinder for its antalaby an alemadium foil rule or red rail as sella date at seta you have already elite about the sold cylenda if we extract out as solid cylender of the lesser radius and an high from an given solid cylender then the remaining part is called of hollow cylender let take calook at this aluminium foil rule or commonly used item for wrapping food do you know how to calculate the length of foil required to gourd this rule lets calculate asingle tune of oil around the rule called its lateral surface area or for surface area what is lateral surface area what carefully the are you can notice that this is the hollow cylentrical rule the inner radius of the rule small are and the outer radius of the rule is capital are the height of the object us age so the lateral surface area of hollow cylender is equal to the sum of internal and external cot surface area hence the formula of the lateral surface area alcylender is epite to by at multiplied by the sum of both radia if we want to calculate how much heat will be required to cover the entire visible part of ar hollow cylender then we have to calculate its total surface area what is total surface area what carefully heroinotus that this is the hollow cylentrical object both the end so rings with the radius our and small are the height of the object is at so the dodo surface area is equal to the sum of internal and its turn al gold surface area blast the surface areas of to and atom rings therefore after simplification we get do by at capital are last small are plus capita la square minus smaller squa or to by capital are blast smaller age plus capital are minus smaller,"['al gold surface area', 'cot surface area', 'hollow cylender hollow', 'hollow cylentrical rule', 'surface area', 'surface', 'hollow cylender', 'hollow cylentrical', 'foil rule', 'solid cylender', 'inner radius', 'rule small', 'inner solid', 'red rail', 'dimensional shade', 'many objects', 'daily life', 'smaller', 'hollow', 'radius', 'foil', 'rule', 'visible', 'small']"
Volume of a Sphere, proline goes to at shop with his father he starts exploring the this one by one suddenly he notices as spherical ball filled completely with blue called water he asks his father about the amount of water that the ball holds his father tells him that they can measure the volume of the voter filled in the ba with the measuring instrument then robbing asks if there is away to find out the volume of this water even with out measuring it as such but his father does not knolthe answer tume of in question can you help him out the volume of voter will be the same as the volume of the spherical ball if it is assumed that the thickness of the walls of the ball is negligible it means that he can calculate the volume of the water if the radius of the spherical ball is known as there is th formula to find the volume of asphere which is four upon three times by or cube where are is the radius of the sphere but you may wonder how did this formula come into existence does this formula give accurate values to answer such questions let us perform an activity to perform this activity we need some eparaters the three spherical vs of different rate to be specific we have taken three volts of radio two centimeters three centimeters and vocentimeters respective also we have taken acontainer sufficiently large to put eight vol into it one at atime now place this container in a larger vessel and fill it with water up to the brim then delicately please the smallest sphere into the container as the volume objects occupy some space some water over flows from the container into the larger vessel logically the volume of the displaced water is the same as the volume of the spherical ball that we have submerged in the water now volthis water into the measuring cylinder the volume of water is approximately thirty three point by mililaters if you calculate the volume of the expression for upon three times by or cube taking the volume of are as two centimetres it comes out to way thirty three point five von cubic intimates as we know that one cubic intimate is equivalent to vonmililater so the volume of the displaced water is approximately equal to the volume of the spherical ball is nt it interesting now we repeat the same experiment with the second ball whose radius is three centimeters fill the container again up to the brim and submerge the balanitthe volume of the overflowed water is measured as von hundred thirteen millimetres to verify we calculate the volume of the expression for upon three times by or cube at our equals three centimetres this value is he proxumately equal to the volume of the overflowed water the same voluws for the pure ball as well through this activity we can conclude that the volume of as sphere is equal to four upon three times by or cube where are is the radius of the sphere the mathematical proof of this formula needs more knowledge which you will study later so in this way you can find the volume of the spherical ball using this formula if you know the radius of the ball now if as sphere is cut along he plain through its centre it results in tueidentical objects each known as a hemisphere can you find the volume of a hemisphere as you know that a hemisphere is half of asphere the volume of the hemisphere will be half of the volume of the sphere so the volume of a hemisphere is to upon three times by or cube where are is the radius of the hemisphere let us no look at an example where we use the vomule of the volume of sphere find the radius of the sphere havinmg the volume of thirty eight thousand eight hundred eight cubic centimetres we know that the volume of as sphere is equal to four upon three times by or cube and the volume of the sphere is given on substituting the volumes you get an equation in the radiable are on solving this equation for our you get radius equal to twentumeon centimetres here is aquickrecap of what we have learned,"['cubic centimetres', 'answer such questions', 'cubic', 'same experiment', 'volume objects', 'radius equal', 'more knowledge', 'mathematical proof', 'volthis water', 'smallest sphere', 'larger vessel', 'different rate', 'accurate values', 'th formula', 'answer tume', 'ball', 'objects', 'same', 'centimetres', 'equal', 'formula', 'sphere', 'radius', 'such', 'water', 'volume']"
Square Numbers, square numbers think about the word square it is at tip of geometrical shape which you are already aware of what is the property of this shape all sides of ar square are equal linen and its all unbers are equal to ninety degrees square numbers are mulsimilar to the area of square the area of ar square is sine multiplied by side quaresined means the length of side consider the following squares and their ages here one four nine and sixteen are called square numbers but twenty point to five and thirty point to five are not the square number observe carefully as square number is obtained by multiplying and natural number by itself in these two cases twentiploine two five and thirty point two five are obtained by multiplying decimuls by itself not an natural number therefor they are not asquare number so in general asquare number as is always obtained by multiplying an natural number en by itself or is is equal to en squared quere en is an natural number since in is an natural number therefo is also an natural number so ar square number is also ar natural number remember it is also called perfect square let see are all square numbers up to one hand re twenty five thirty six forty nine sixty four eighty ne one hundred twenty five is obtained by multiplying fyve by itself thirty six is obtained by multiplying six by itself forty nine is obtained by multiplying seven by itself sixty four is obtained by multiplying eight by itself eighty one is obtained by multiplying nying by itself one hundred is obtained by multiplying ten by itself it is advisable to remember all these numbers these are the only square numbers up to one hundred so if you are asked that seventy eight is asquare number or not then you can non so its you remember days let see it in another what seventy eight lies between sixty four and eighty one sixty four and eighty one are the squares obtaint and nine respect if seventy eight is as square number it must be the square of ar natural number between eight and nine but there is no natural number between eight and nine so seventy eight is not ar square number any natural number can have these ten digits as their unit digit so if we find the squares of these digits then we can flying the unit digits of every square number if an natural number has zero as its unit digit then its square also has zero as its unit digit if an natural number has one as its unit digit then its square also has one as its unit died if an natural number has two as its unit digit then its square has four as its unit digit if an natural number has three as its unit digit then its square has nine as its unit eged if anatural number has four as its unit digit then its square has six as its unit died if an natural number has five as its unit digit then its square also has five as its unit digit if anatural number has six as its unit digit then its square also has six as its unit digit if natural number has seven as its unit digit then its square has nine as its unit digit if an natural number has eight as its unit digit then its square has four as its unit de ge if an natural number has nine as its unit digit then its square has one as its unit digit do these square numbers have all these ten digits as their unit digits no they have only zero one four five six or nine at units plays no these square numbers do not have two three seven or eight at units qulays we can generalise that all the square numbers end with zero one four five six or nine at units plays can we say that if are number end in zero one four five six or nine then it must be asquare number no for ex numbes fifteen it ends with five as unit plays fifteen lies between nine and sixteen nine and sixteen are the squares of three and four respective lay if fifteen is a square number it must be the square of a natural number between three and four but there is no natural number between three and four so fifteen is not a square number even though it has five as its unit digit so you can just say that if an number has two three seven or eight as unit digit then the number is not a square number observe that square of a number ending with one or nine at units place has one at units place of its square number observe that square of a number ending with four or six at units place has six at units place of its square number observe that square of a number ending with three or seven at units place has nine at units place of its square number lets observe the square of a number ending with zero at units square if a number contains one zero at the end then there are two zeros at the end of its square if ar number contains two zeros at the end then there are four zeros at the end of its square so it can be said that square numbers can only have even number of zeros at the end so if a number has ought number of zeros at the end then the number can not be asquare number so here you saw how a geometrical shape that is square help do you to understand the concept of square numbers which are also called perfect squares it is advisable to memorise all the square numbers up to one nandrad any square number has only zero one four five six and nine as their unit diges you also learn some techniques to check if a number is a square number or nor,"['square number', 'units square', 'square', 'asquare number', 'number', 'ex numbes', 'hand re', 'squared quere', 'cases twentiploine', 'side quaresined', 'equal linen', 'geometrical shape', 'unit', 'squares', 'units', 'side', 'equal', 'shape']"
Square Root of a Number, get or wants to know how much distance he will cover if he writes from the point to the point to be of this of hall the to distances are given using the pthagorest herem we get be square is equal to asysquared plus we see squared by putting the values and simplifying them we get be square is equal to fifty three so he needs to find that number whose square is fifty three there are many other situations also where we ni to find an number whose square is known let see some more if you know the area of a square can you find it sites for example if the are of a square field is five hundred and seventy six meters square then we can write site square is equal to five hundred and seventy sex in order to find the side we need to find at value which when multiplied by itself gives five hundred and seventy sex or we need to find or number whose square is five hundred and seventy sex consider another situation which is also related to as square for this square can you find out the lend of its dignel lets find at bothedagnals of ar square are the same so we can calculate either of them lets find pear consider the fringe phe are it is are right angle train gill using the pythagorest herem we can ride that we are square is equal to cure squared plus cup squared by putting the values and solving further we get we are squared is equal to two point eight at its dignalpear is that number whose square is two point eight at in all these situations we need to find the number whose square is known finding the number with the known square is known as finding the square root or we can say that it is the in also peration of square ring do you now other invers operations inverse operation of addition is subtraction and the inverse operation of multiplication is division get back to square root if you multiply one point one by itself you get one point to one so we say one point to one is the square of one point one and one point one is the square root of one point to one let take sum numbers and see their square roots one is the square of ne therefore the square root of one is one for is the square of two therefore square root of for is two nine is the square of three therefore square root of nine is three sixteen is the square of four therefore square root of sixteen is for so squaring is aprocess of multiplind and number by it sell and its inverse process is known as finding square root obso multiplind three by three gis nine multiplying negative three by negative three also gives nine so what should be the square root of nine negative three or positive three both are the square roots of nine so square roots of nine are three and negative three observe this stable negative one point one is also a square root of one point to one similarly negative one is also asquare root of one negative to is also asquare root of for negativefor is also a square root of sixteen positive square root of or number is denoted by the symbol so the value of this sexuession is three not negative three similarly the value of this expression is to not negative to so every number has two square roots and positive square root is represented by the symbol so you have learnt what asqure root is it is inverse of squaring an number finding the number with the known square is known as finding the square root you also learned that this symbol represents positive square root,"['square root obso', 'square root', 'square roots', 'square', 'right angle train gill', 'other invers', 'inverse process', 'inverse operation', 'stable negative', 'sum numbers', 'fringe phe', 'dignel lets', 'much distance', 'other', 'root', 'inverse', 'negative', 'lets']"
Finding the Square of a Number, cake of wants to know the area of his bed room floor so that he can perches ar carpet of equal area of for the floor the floor is in the shape of ar square with side ten feet can you help him in finding out the area of the floor or lets find it out we know that area of ar square is equal to the square of it side so the area of the bed room floor is ten square square feet o it is equal to ten multiplied by tend square feet which is equal to one hundred squared feet so it was ease we just multiplied ten by it sell to find out the square of ten isn tet similarly there are many situations war we need to find out the squares of numbers you can easily find out the squares of numbers like three four five at cetera square of or number means to multiplied that number by it sellssquare are small numbers like ume two three four up to ten are easy to find out but can we find out the square of forty six so easily to find out the square of forty six multiply forty six by forty six by usual multiply cation is there any easier method to find out the square of forty six yes right forty six as forty lasts then we get forty phe six multiplied bive forty places on multiplind and simple fine further we get two thousand one hundred sixteen but this is also time taken so lets introduce us to one motrix of finding the square of numbers for this you have to remember the squares of numbers up to twenty five this method is used to find out the square of numbers between twenty five and seventy five lets find out the square of forty four there are two states in the first step subtract twenty five from the given number subtract twenty five from forty four we get nineteenth these are the first two dees in the second step take the difference of fifty and that number and square the resulted number now take the difference between forty four and fifty and square that number in the btract fifty from forty four or forty four from fifty it does nt make any gene because we will square that number so both numbers will no sin consider thirty six as the last two digits of the square so one thousand nine hundred thirty six is the square of forty four now calculate the square of fifty eight subtract twenty five from fifty it we get thirty trait these are the first two degets now subtract fifty from fifty eight and square at we get sixty four these are the last two digits so square of fifty eight is we thousand try hundred sixty four we just learned how quickly we can find out the square of our number using this trait lets take another tip of fi number find out the square of thirty sits subtract twenty five from thirty sets we get eleven now subtract thirty six from fifty we get fourteen on squaring we get one hundred ninety sets in the situation nine and six out the last two deges and one is the carriover to the first two diets so at remaining ondred the eleven they are for the square of thirty six is one thousand to hundred ninety sets now lets find out the square of numbers between seventy five and one hundred twenty five find out the square of one hundred four in first step subtract one hundred from the given number and add the differed to that number take the difference of one hundred and one hundred four which is four and added to one hundred four on adding we get one hundred eight these are the first three digits of the square in the second step take the square of the defend square of four sixteen which forms the last two de gets so the square of one hundred four is ten thousand eight hundred sixteen again find out the square of one hundred twenty take the difference of one hundred and one hundred twenty which is twenty and added to one hundred twenty on adding we get one hundred forty these are the first three diets now take the square of the difference which is four hundred zero see or the last two digits and at remaining for to the first three digits one hundred forty plus four is equal to one hundred forty four they are for square of one hundred twenty as fourteen thousand for hundred now do you think that we are done with the methods now there is one more method to find out the square of numbers ending with five consider following patan what do you observe here here we observe that if we take are two digit number ending with five then to find out its square multiplied the first digit of given number with its succeeding de get and write twenty five after red similarly if we take ar three digit number ending with five multiplied the first two digits of the given number with its succeeding de get and write twenty five after rad to understand this method in detail let take up any number find out the square of eighty five multiply eight with its succeeding digit which is nine we get seventy two now write square of five after it which is twenty five so the an series seven thousand to hundred twenty five square numbers are widely used in different branches of mathematics and science in geometry while using pathagrastherum we use square numbers consider following triangle according to pathagrastherum square of hypotenus is equal to the sum of the square of popendeuila and bats here three squares plus four squared is equal to five squared again observe one more triangle here six squared plus eight square is equal to ten squared the triplet of numbers where square of one number is equal to the sum of the square of other to numbers is sqalled apatagorin tripled here three four five and six eight ten are pythagorean triplets in general for any natural number em which is greater than one we have square of two em plus whole square of em squared minus one is equal to hold square of em squared plus one so two m msquared plus one and msquared minus one form apartagurian tripled can you find out summotripleds yes we can find out sum or pythagorean triplets using this relation find out apitagorian triplet whose smallest number is at let us quirststake msquared minus one as eight so msquared is equal to nine and m is equal to trait therefore two m is equal to six and msquared plus one is equal to pen the triplet is thus six eight and ten but eight is not the ones number in this tripled so let us take two m is equal to at that is m is equal to four so msquared minus one is equal to fifteen and msquared plus ne is equal to seventeen the triplet is thus eight fifteen and seventeenth with eight as the smallest number similarly we can find out other pythagorean triplets,"['square square', 'square numbers', 'ar square', 'digit number', 'number subtract', 'square', 'first step subtract', 'other pythagorean triplets', 'usual multiply cation', 'many situations war', 'bed room floor', 'number', 'more method', 'pythagorean triplets', 'apitagorian triplet', 'form apartagurian', 'different branches', 'simple fine', 'easier method', 'isn tet', 'equal area', 'first digit', 'multiply', 'step', 'more', 'method', 'numbers', 'ar', 'triplet', 'equal', 'area', 'first', 'digit', 'subtract', 'other', 'floor']"
Introduction to Angle and its Types, angles are all around if you just take moment to look real world examples of angles can be found in many different areas of every day lies but way what is an angle let find an answer observe this table very carefully the two sides of table are meeting at ne common and point thus forming an angle if two lines as and base met at the common point then an angle esegree is formed the common point is called the word eggs of an angle and the dustragt lines are gold arms of an angle we can measure angles in degrees degree is the unit of measurement for an angle there are three hundred sixty degrees in he circle are very small circular symbol is used to represent degree according to the sides of angles be thick tides of angles are classified as right angle at cut angle and obtuse angle let learn about eight of them in turn ar right angle is an angle that measures ninety degrees and looks like he perfect corner it is the most common angle in every day lies it forms the corner of he door window ages on sides of able et cetera next days acute angle an acute angle is an angle that measure is less than ninety degrees and looks like this let the some examples is this these of cake as an acute angle em yes it has now notice the tip of pencil top of the letter at and the number seven all of these contain an acute angle moving on to obtuse angle an obtuse angle is an angle that measure is more than ninety degrees but less than one eighty degrees and looks like this you can probably see many real word examples of or due angles,"['et cetera next days acute angle', 'common angle', 'many real word', 'acute angle', 'angle', 'many different', 'degrees degree', 'gold arms', 'dustragt lines', 'common', 'circular', 'word', 'real', 'degree', 'degrees', 'lines', 'angles']"
Polar Bear Adaptation, climate as profound the fact on all living organisms and organisms have adapted to survive efficiently in the climate condition they live in animals living in the extreme conditions such as and polar regions possess special feathers to protein sells in such and banned ol region shows one of the extreme conditions on the planet it is covered with snow remains very old for most part of the year and the better can be as low as mines the desalindegree senses tree when if the animal at survive and five successfully and such conditions ears polar bear polar bears are bite far so that they are not easily visible in the snowy background to the predates polar bears has to take clears of fr and also have and insulating fat lear under their skin which keeps them warm in cold weather out of the two can bears older or to lear as long oily here whereas in are or under bar has soft and find her when wet the top lear geese under lear drive and excess water is then shaken of from the body really polar bears are good long the ten swim up and can remain in water for extended period of time while swimming under water polar bar can clots at nostrils and swim efficiently as far as hundred mines and one gold such physical activities help and cooling on wormdays polar bears feet are fare and covered with small bands its balls are wide and large all these held them to walk with ease on the now without slipping polar bear can use its remarkable sense of smell to detect of prey which is one mildeway with the help of long certain sharp class it can find it spray it in on their eyes polar bears done tentate agar nation most polar bears remain active throughout the year they have the ability to reduce their metabolic rate when food is cars and an just it again when food is abundant only frequent female polar bear and tears then to give birth to young bands such then is usually are side in snow trees along month and slots or in bands of snow on the frozen see for first few weeks older bear keeps its cap close to itself to protecte from outside gold at at to pleas and covered with short soft far they are completely dependent on their mother for long and food in the next three to four weeks cos are bead with the mother we nearly six times aday however this frequency decreases gradually as the cart throw order mother and cutstay in side under the cube big enough to treat after few more weeds ups are then brought outside to face the halate of the extreme climate polar bears are as one of the most adapted animals on the planet however rapid well down of five due to change in climate and glowiarming is making their lives the cell and threatening their entire or rival,"['climate polar bears', 'most polar bears', 'water polar', 'polar bears', 'polar', 'gold such physical', 'few more weeds', 'bands such', 'certain sharp', 'lear', 'only frequent', 'times aday', 'short soft', 'frozen see', 'snow trees', 'metabolic rate', 'remarkable sense', 'extended period', 'cold weather', 'snowy background', 'most part', 'ol region', 'special feathers', 'living organisms', 'such', 'bands', 'few', 'agar', 'climate', 'gold', 'water', 'bears', 'most', 'mother', 'soft', 'snow', 'living', 'organisms']"
